Date,Open,High,Low,Close
07/16/2020,"2,651.93","2,661.95","2,621.02","2,623.67"
07/15/2020,"2,643.76","2,658.90","2,641.80","2,648.90"
07/14/2020,"2,617.98","2,631.81","2,604.95","2,620.19"
07/13/2020,"2,669.98","2,670.93","2,629.68","2,631.08"
07/09/2020,"2,678.92","2,679.98","2,652.07","2,652.65"
07/08/2020,"2,665.51","2,677.40","2,653.02","2,669.49"
07/07/2020,"2,705.10","2,707.67","2,657.94","2,661.42"
07/06/2020,"2,662.41","2,696.01","2,653.37","2,689.61"
07/03/2020,"2,652.94","2,660.27","2,637.13","2,652.94"
07/02/2020,"2,607.49","2,636.69","2,597.61","2,636.69"
07/01/2020,"2,604.08","2,619.35","2,597.29","2,610.17"
06/30/2020,"2,595.27","2,610.99","2,589.91","2,589.91"
06/29/2020,"2,589.74","2,598.06","2,572.23","2,574.10"
06/26/2020,"2,603.43","2,619.65","2,600.50","2,604.51"
06/25/2020,"2,590.15","2,605.33","2,574.85","2,590.15"
06/24/2020,"2,628.62","2,647.49","2,615.72","2,628.62"
06/23/2020,"2,634.92","2,641.08","2,583.99","2,634.92"
06/22/2020,"2,638.15","2,652.38","2,627.46","2,629.69"
06/19/2020,"2,634.83","2,658.93","2,634.83","2,634.83"
06/18/2020,"2,665.66","2,678.03","2,645.61","2,665.66"
06/17/2020,"2,677.99","2,679.57","2,644.18","2,669.62"
06/16/2020,"2,664.60","2,688.99","2,663.75","2,666.85"
06/15/2020,"2,652.80","2,661.61","2,606.15","2,613.88"
06/12/2020,"2,684.63","2,690.77","2,609.03","2,684.63"
06/11/2020,"2,785.19","2,704.21","2,704.21","2,704.21"
06/10/2020,"2,805.81","2,800.57","2,800.57","2,800.57"
06/09/2020,"2,810.44","2,839.39","2,783.30","2,794.17"
06/08/2020,"2,796.97","2,798.98","2,766.35","2,796.97"
06/05/2020,"2,714.55","2,755.80","2,702.60","2,751.50"
06/04/2020,"2,733.57","2,755.55","2,684.07","2,707.20"
06/03/2020,"2,700.39","2,700.39","2,637.41","2,700.39"
06/02/2020,"2,611.63","2,611.63","2,562.09","2,611.63"
06/01/2020,"2,550.86","2,578.27","2,516.46","2,550.86"
05/29/2020,"2,510.75","2,516.78","2,489.94","2,510.75"
05/28/2020,"2,515.24","2,531.56","2,509.10","2,515.24"
05/27/2020,"2,519.48","2,537.79","2,509.59","2,519.48"
05/26/2020,"2,530.30","2,544.46","2,516.89","2,530.30"
05/22/2020,"2,533.04","2,534.90","2,490.70","2,499.83"
05/21/2020,"2,555.34","2,583.03","2,554.68","2,555.34"
05/20/2020,"2,583.37","2,561.94","2,561.94","2,561.94"
05/19/2020,"2,581.33","2,596.41","2,579.61","2,581.33"
05/18/2020,"2,539.28","2,551.63","2,524.66","2,539.28"
05/15/2020,"2,535.99","2,523.55","2,523.55","2,523.55"
05/14/2020,"2,546.64","2,551.00","2,521.47","2,522.31"
05/13/2020,"2,572.01","2,584.17","2,567.45","2,572.01"
05/12/2020,"2,582.55","2,587.81","2,587.81","2,587.81"
05/11/2020,"2,611.31","2,611.74","2,590.66","2,611.31"
05/08/2020,"2,591.88","2,602.43","2,579.36","2,591.88"
05/06/2020,"2,566.69","2,608.01","2,565.94","2,591.60"
05/05/2020,"2,572.36","2,595.13","2,572.36","2,572.36"
05/04/2020,"2,555.67","2,575.14","2,536.63","2,563.69"
04/30/2020,"2,600.01","2,633.92","2,592.61","2,624.23"
04/29/2020,"2,574.73","2,579.27","2,554.77","2,574.73"
04/28/2020,"2,559.87","2,562.95","2,562.95","2,562.95"
04/27/2020,"2,549.40","2,562.35","2,525.60","2,549.40"
04/24/2020,"2,530.03","2,533.75","2,501.58","2,518.16"
04/23/2020,"2,549.87","2,563.12","2,539.84","2,542.37"
04/22/2020,"2,530.97","2,556.05","2,507.83","2,550.04"
04/21/2020,"2,591.98","2,601.15","2,551.92","2,551.92"
04/20/2020,"2,622.67","2,597.85","2,597.85","2,597.85"
04/17/2020,"2,661.28","2,671.58","2,609.14","2,614.60"
04/16/2020,"2,581.45","2,612.25","2,612.25","2,612.25"
04/15/2020,"2,605.56","2,650.52","2,591.16","2,605.56"
04/14/2020,"2,634.57","2,647.50","2,566.09","2,634.57"
04/13/2020,"2,561.41","2,572.50","2,544.90","2,567.25"
04/09/2020,"2,564.84","2,596.19","2,559.27","2,571.32"
04/08/2020,"2,539.44","2,551.65","2,507.13","2,539.44"
04/07/2020,"2,506.25","2,571.89","2,571.89","2,571.89"
04/06/2020,"2,470.59","2,477.31","2,411.27","2,470.59"
04/03/2020,"2,451.47","2,454.79","2,380.84","2,389.29"
04/02/2020,"2,402.43","2,453.03","2,453.03","2,453.03"
04/01/2020,"2,468.17","2,481.44","2,419.10","2,440.27"
03/31/2020,"2,454.17","2,487.65","2,454.17","2,481.23"
03/30/2020,"2,416.24","2,480.45","2,409.69","2,416.24"
03/27/2020,"2,545.64","2,561.37","2,511.21","2,528.76"
03/26/2020,"2,487.56","2,519.32","2,433.43","2,487.56"
03/25/2020,"2,429.57","2,510.76","2,390.71","2,505.47"
03/24/2020,"2,362.05","2,372.35","2,291.25","2,362.05"
03/23/2020,"2,233.48","2,274.38","2,208.42","2,233.48"
03/20/2020,"2,314.78","2,433.14","2,312.53","2,410.74"
03/19/2020,"2,415.36","2,441.10","2,303.90","2,311.00"
03/18/2020,"2,472.53","2,532.39","2,420.86","2,425.62"
03/17/2020,"2,469.73","2,517.10","2,454.53","2,454.53"
03/16/2020,"2,495.77","2,590.91","2,495.77","2,495.77"
03/13/2020,"2,555.51","2,676.84","2,510.88","2,634.00"
03/12/2020,"2,678.64","2,752.64","2,666.05","2,678.64"
03/11/2020,"2,837.69","2,783.72","2,783.72","2,783.72"
03/10/2020,"2,832.54","2,853.69","2,756.88","2,832.54"
03/09/2020,"2,891.59","2,891.65","2,772.70","2,782.37"
03/06/2020,"2,999.23","3,000.14","2,959.16","2,960.98"
03/05/2020,"3,037.07","3,047.79","3,016.33","3,018.27"
03/04/2020,"3,015.20","3,031.93","3,003.09","3,025.03"
03/03/2020,"3,032.35","3,042.77","3,015.55","3,019.56"
03/02/2020,"2,988.35","3,026.23","2,987.41","3,007.72"
02/28/2020,"3,043.67","3,056.56","3,008.46","3,011.08"
02/27/2020,"3,110.23","3,114.15","3,086.39","3,111.70"
02/26/2020,"3,131.64","3,136.44","3,117.52","3,117.52"
02/25/2020,"3,145.01","3,171.74","3,142.20","3,158.24"
02/24/2020,"3,159.64","3,166.01","3,140.39","3,142.20"
02/21/2020,"3,189.19","3,200.73","3,179.37","3,181.03"
02/20/2020,"3,217.54","3,221.69","3,190.99","3,198.68"
02/19/2020,"3,199.22","3,222.61","3,194.35","3,213.71"
02/18/2020,"3,203.38","3,203.62","3,191.15","3,196.63"
02/17/2020,"3,220.66","3,223.43","3,210.00","3,213.00"
02/14/2020,"3,216.36","3,220.03","3,220.03","3,220.03"
02/13/2020,"3,230.28","3,232.90","3,211.87","3,220.09"
02/12/2020,"3,223.37","3,223.37","3,175.25","3,223.37"
02/11/2020,"3,168.15","3,195.50","3,166.99","3,175.57"
02/10/2020,"3,142.47","3,173.32","3,137.81","3,163.15"
02/07/2020,"3,214.18","3,219.80","3,170.57","3,181.48"
02/06/2020,"3,215.37","3,231.97","3,206.92","3,231.55"
02/05/2020,"3,163.67","3,203.04","3,156.86","3,200.13"
02/04/2020,"3,135.50","3,166.71","3,132.51","3,156.57"
02/03/2020,"3,131.02","3,139.36","3,112.33","3,116.31"
01/31/2020,"3,173.39","3,183.46","3,144.33","3,153.73"
01/30/2020,"3,183.20","3,191.38","3,152.51","3,170.68"
01/29/2020,"3,181.19","3,193.84","3,172.66","3,182.57"
01/28/2020,"3,172.73","3,190.08","3,144.10","3,181.25"
01/24/2020,"3,235.36","3,242.50","3,230.32","3,240.02"
01/23/2020,"3,251.84","3,259.90","3,231.37","3,234.56"
01/22/2020,"3,242.60","3,258.96","3,240.17","3,253.93"
01/21/2020,"3,271.56","3,275.15","3,232.99","3,247.17"
01/20/2020,"3,280.95","3,283.06","3,270.80","3,280.09"
01/17/2020,"3,282.85","3,283.89","3,269.99","3,281.03"
01/16/2020,"3,256.83","3,280.36","3,255.63","3,278.00"
01/15/2020,"3,266.54","3,276.00","3,252.02","3,256.98"
01/14/2020,"3,262.08","3,270.54","3,256.18","3,270.54"
01/13/2020,"3,259.44","3,267.97","3,248.00","3,251.07"
01/10/2020,"3,252.66","3,261.28","3,246.62","3,255.95"
01/09/2020,"3,262.72","3,262.72","3,243.10","3,247.48"
01/08/2020,"3,211.28","3,245.89","3,193.31","3,245.89"
01/07/2020,"3,236.23","3,247.86","3,233.50","3,247.86"
01/06/2020,"3,221.56","3,226.11","3,210.68","3,218.86"
01/03/2020,"3,260.27","3,268.73","3,227.63","3,238.82"
01/02/2020,"3,230.48","3,256.09","3,220.67","3,252.00"
